manifest_version,dataset_id,trajectory_id,source_session,source_session_method,source_path,split,leakage_group,robot_id,camera_id,environment,num_frames,has_traj_data,nominal_dt_s,metric_waypoint_spacing_m,position_unit,yaw_unit,license_id,license_status,processor_version,trajectory_meta_sha256
0.1.0,go_stanford,no10vcF_10_0,no10vcF_10,heuristic_remove_trailing_segment,nomad_dataset/go_stanford/no10vcF_10_0,train,go_stanford:no10vcF_10,Stanford mobile robot,default,campus;indoor,68,True,0.3333333333,0.12,meter,radian,CC-BY-NC-SA-3.0,official_page_explicit,preexisting_unknown,cdd3324377231aa81582e5b41ea5f47fd0801c172e1f3fc537aa2bce08c89c6b
0.1.0,go_stanford,no10vcF_11_0,no10vcF_11,heuristic_remove_trailing_segment,nomad_dataset/go_stanford/no10vcF_11_0,test,go_stanford:no10vcF_11,Stanford mobile robot,default,campus;indoor,2,True,0.3333333333,0.12,meter,radian,CC-BY-NC-SA-3.0,official_page_explicit,preexisting_unknown,cb4bcdf2da71b4500a8ff2247898a77f74a86d6b3cc5873a0075d5307c3a9de2
0.1.0,go_stanford,no10vcF_11_1,no10vcF_11,heuristic_remove_trailing_segment,nomad_dataset/go_stanford/no10vcF_11_1,test,go_stanford:no10vcF_11,Stanford mobile robot,default,campus;indoor,3,True,0.3333333333,0.12,meter,radian,CC-BY-NC-SA-3.0,official_page_explicit,preexisting_unknown,069c315e08fa480d2f972e7b8786cdc8ef2933523d66bef6b3abcf7f55f5ebc0
0.1.0,go_stanford,no10vcF_12_0,no10vcF_12,heuristic_remove_trailing_segment,nomad_dataset/go_stanford/no10vcF_12_0,train,go_stanford:no10vcF_12,Stanford mobile robot,default,campus;indoor,1,True,0.3333333333,0.12,meter,radian,CC-BY-NC-SA-3.0,official_page_explicit,preexisting_unknown,2ce8bc17ca1682a31dd838b897ca85caf3fb1c47409176237d864b912ff48748
0.1.0,go_stanford,no10vcF_16_0,no10vcF_16,heuristic_remove_trailing_segment,nomad_dataset/go_stanford/no10vcF_16_0,train,go_stanford:no10vcF_16,Stanford mobile robot,default,campus;indoor,1,True,0.3333333333,0.12,meter,radian,CC-BY-NC-SA-3.0,official_page_explicit,preexisting_unknown,d322eb7da3134b38d6a8511b2cd86bc99c912db7bbc575bc50b5ebb67e56bcf8
0.1.0,go_stanford,no10vcF_17_0,no10vcF_17,heuristic_remove_trailing_segment,nomad_dataset/go_stanford/no10vcF_17_0,train,go_stanford:no10vcF_17,Stanford mobile robot,default,campus;indoor,1,True,0.3333333333,0.12,meter,radian,CC-BY-NC-SA-3.0,official_page_explicit,preexisting_unknown,f115120631f99f06be7e79dfa68b5ce305a701bb43d7b16537a00c86e025ab8e
0.1.0,go_stanford,no10vcF_18_0,no10vcF_18,heuristic_remove_trailing_segment,nomad_dataset/go_stanford/no10vcF_18_0,train,go_stanford:no10vcF_18,Stanford mobile robot,default,campus;indoor,54,True,0.3333333333,0.12,meter,radian,CC-BY-NC-SA-3.0,official_page_explicit,preexisting_unknown,d4ac8b4e05b9320492f414fa7ca0c72e17fa6c691e505bfbff549fdf35d3e47d
0.1.0,go_stanford,no10vcF_21_0,no10vcF_21,heuristic_remove_trailing_segment,nomad_dataset/go_stanford/no10vcF_21_0,train,go_stanford:no10vcF_21,Stanford mobile robot,default,campus;indoor,2,True,0.3333333333,0.12,meter,radian,CC-BY-NC-SA-3.0,official_page_explicit,preexisting_unknown,3053f5c01d523cf456ce30f06041b5078d1f0ce02a75414d4e18621c92357b29
0.1.0,go_stanford,no10vcF_22_0,no10vcF_22,heuristic_remove_trailing_segment,nomad_dataset/go_stanford/no10vcF_22_0,train,go_stanford:no10vcF_22,Stanford mobile robot,default,campus;indoor,237,True,0.3333333333,0.12,meter,radian,CC-BY-NC-SA-3.0,official_page_explicit,preexisting_unknown,ed53a4309e8ada03ad8c66a6c998961207e9efa3943007ac30932b92f17729bb
0.1.0,go_stanford,no10vcF_26_0,no10vcF_26,heuristic_remove_trailing_segment,nomad_dataset/go_stanford/no10vcF_26_0,train,go_stanford:no10vcF_26,Stanford mobile robot,default,campus;indoor,48,True,0.3333333333,0.12,meter,radian,CC-BY-NC-SA-3.0,official_page_explicit,preexisting_unknown,f2c0c3edaa017c7e1899d94856bdc3bf2999fb08ee4619acdfd8b2a258831c93
