config_id,stabilizer_mode,radius_m,timeout_factor,secondary_analysis,primary_condition_reuses_terminal_outcome,nonprimary_condition_is_trajectory_approximation,success_n,trial_n,success_rate
ddpm10_cfg0_standard_k8,policy_only_off,0.4,0.75,True,False,True,0,6,0.0
ddpm10_cfg0_standard_k8,policy_only_off,0.4,1.0,True,False,True,0,6,0.0
ddpm10_cfg0_standard_k8,policy_only_off,0.4,1.25,True,False,True,0,6,0.0
ddpm10_cfg0_standard_k8,policy_only_off,0.5,0.75,True,False,True,3,6,0.5
ddpm10_cfg0_standard_k8,policy_only_off,0.5,1.0,True,True,False,3,6,0.5
ddpm10_cfg0_standard_k8,policy_only_off,0.5,1.25,True,False,True,4,6,0.6666666666666666
ddpm10_cfg0_standard_k8,policy_only_off,0.6,0.75,True,False,True,3,6,0.5
ddpm10_cfg0_standard_k8,policy_only_off,0.6,1.0,True,False,True,4,6,0.6666666666666666
ddpm10_cfg0_standard_k8,policy_only_off,0.6,1.25,True,False,True,4,6,0.6666666666666666
ddpm10_cfg0_standard_k8,policy_only_off,0.75,0.75,True,False,True,3,6,0.5
ddpm10_cfg0_standard_k8,policy_only_off,0.75,1.0,True,False,True,5,6,0.8333333333333334
ddpm10_cfg0_standard_k8,policy_only_off,0.75,1.25,True,False,True,5,6,0.8333333333333334
ddim2_cfg0_standard_k8,policy_only_off,0.4,0.75,True,False,True,0,6,0.0
ddim2_cfg0_standard_k8,policy_only_off,0.4,1.0,True,False,True,0,6,0.0
ddim2_cfg0_standard_k8,policy_only_off,0.4,1.25,True,False,True,0,6,0.0
ddim2_cfg0_standard_k8,policy_only_off,0.5,0.75,True,False,True,3,6,0.5
ddim2_cfg0_standard_k8,policy_only_off,0.5,1.0,True,True,False,5,6,0.8333333333333334
ddim2_cfg0_standard_k8,policy_only_off,0.5,1.25,True,False,True,5,6,0.8333333333333334
ddim2_cfg0_standard_k8,policy_only_off,0.6,0.75,True,False,True,3,6,0.5
ddim2_cfg0_standard_k8,policy_only_off,0.6,1.0,True,False,True,5,6,0.8333333333333334
ddim2_cfg0_standard_k8,policy_only_off,0.6,1.25,True,False,True,5,6,0.8333333333333334
ddim2_cfg0_standard_k8,policy_only_off,0.75,0.75,True,False,True,3,6,0.5
ddim2_cfg0_standard_k8,policy_only_off,0.75,1.0,True,False,True,5,6,0.8333333333333334
ddim2_cfg0_standard_k8,policy_only_off,0.75,1.25,True,False,True,5,6,0.8333333333333334
ddim3_cfg0_standard_k8,policy_only_off,0.4,0.75,True,False,True,0,6,0.0
ddim3_cfg0_standard_k8,policy_only_off,0.4,1.0,True,False,True,0,6,0.0
ddim3_cfg0_standard_k8,policy_only_off,0.4,1.25,True,False,True,0,6,0.0
ddim3_cfg0_standard_k8,policy_only_off,0.5,0.75,True,False,True,3,6,0.5
ddim3_cfg0_standard_k8,policy_only_off,0.5,1.0,True,True,False,5,6,0.8333333333333334
ddim3_cfg0_standard_k8,policy_only_off,0.5,1.25,True,False,True,5,6,0.8333333333333334
ddim3_cfg0_standard_k8,policy_only_off,0.6,0.75,True,False,True,3,6,0.5
ddim3_cfg0_standard_k8,policy_only_off,0.6,1.0,True,False,True,5,6,0.8333333333333334
ddim3_cfg0_standard_k8,policy_only_off,0.6,1.25,True,False,True,5,6,0.8333333333333334
ddim3_cfg0_standard_k8,policy_only_off,0.75,0.75,True,False,True,3,6,0.5
ddim3_cfg0_standard_k8,policy_only_off,0.75,1.0,True,False,True,5,6,0.8333333333333334
ddim3_cfg0_standard_k8,policy_only_off,0.75,1.25,True,False,True,5,6,0.8333333333333334
ddim2_cfg0_tts8,policy_only_off,0.4,0.75,True,False,True,0,6,0.0
