configuration,config_id,stabilizer,success_n,scientific_n,success_rate,success_ci_low,success_ci_high,spl_mean,final_distance_m,path_efficiency,collision_rate,fall_rate,stuck_rate,timeout_rate,sampler_p95_ms,full_loop_p95_ms,loop_hz,invalid_n,crash_n,trajectory_equivalent_across_methods
DDPM-10,ddpm10_cfg0_standard_k8,policy_only_off,4,6,0.6666666666666666,0.22277809550351213,0.9567281317072583,0.6662444472247558,0.5694511433754675,0.9983420934937929,0.0,0.0,0.0,0.3333333333333333,48.12216619939136,101.72640414120906,11.485714163783475,0,0,False
DDIM-2,ddim2_cfg0_standard_k8,policy_only_off,5,6,0.8333333333333334,0.35876542100232517,0.9957892554855106,0.8234750224238527,0.7872612496044497,0.9901416890905194,0.0,0.0,0.16666666666666666,0.16666666666666666,12.536895117167054,58.15167079196423,18.78896123001619,0,0,False
DDIM-3,ddim3_cfg0_standard_k8,policy_only_off,5,6,0.8333333333333334,0.35876542100232517,0.9957892554855106,0.8333333333333334,0.8540720877924807,1.0,0.0,0.0,0.16666666666666666,0.16666666666666666,17.246712374374813,66.29271430786805,16.996574855727786,0,0,False
DDIM-2 + TTS-8,ddim2_cfg0_tts8,policy_only_off,5,6,0.8333333333333334,0.35876542100232517,0.9957892554855106,0.8333333333333334,0.48392444573691407,0.9981525317501205,0.0,0.0,0.0,0.16666666666666666,12.475686083113638,59.75947999186246,18.21959166446837,0,0,False
DDIM-2 + CFG-2 + TTS-8,ddim2_cfg2_tts8,policy_only_off,6,6,1.0,0.5407418735600995,1.0,1.0,0.4425746688888789,1.0,0.0,0.0,0.0,0.0,20.353443157758495,81.70929511652503,12.984123335062458,0,0,False
DDPM-10,ddpm10_cfg0_standard_k8,system_stabilizer_on,0,6,0.0,0.0,0.4592581264399005,0.0,1.1214025374491026,0.9775818730349725,0.0,0.0,0.5,1.0,46.71777444958328,91.34063236706425,11.703107196870837,0,0,True
DDIM-2,ddim2_cfg0_standard_k8,system_stabilizer_on,0,6,0.0,0.0,0.4592581264399005,0.0,1.1214025374491026,0.9775818730349725,0.0,0.0,0.5,1.0,12.75903081677825,60.33333304979654,18.30587233861087,0,0,True
DDIM-3,ddim3_cfg0_standard_k8,system_stabilizer_on,0,6,0.0,0.0,0.4592581264399005,0.0,1.1214025374491026,0.9775818730349725,0.0,0.0,0.5,1.0,16.45147399973818,63.64124276648605,16.93830854055827,0,0,True
DDIM-2 + TTS-8,ddim2_cfg0_tts8,system_stabilizer_on,0,6,0.0,0.0,0.4592581264399005,0.0,1.1214025374491026,0.9775818730349725,0.0,0.0,0.5,1.0,12.892626508649604,59.39466244987367,18.164819379003898,0,0,True
DDIM-2 + CFG-2 + TTS-8,ddim2_cfg2_tts8,system_stabilizer_on,0,6,0.0,0.0,0.4592581264399005,0.0,1.1214025374491026,0.9775818730349725,0.0,0.0,0.5,1.0,20.87088772489854,83.97103378326089,12.865558437975507,0,0,True
