source_experiment,comparison_group,config_id,encoder,scheduler,num_steps,cfg_weight,tts_budget,tts_topk,tts_verifier,num_cases,latency_mean_ms,latency_ci95_ms,latency_p50_ms,latency_p90_ms,latency_p95_ms,hz_mean,forward_progress,smoothness,lateral_abs,diversity,endpoint_norm,invalid_or_saturation,quality_proxy,quality_proxy_ci95,quality_proxy_scope,pareto_frontier,budget_mode,risk_note
cfg_sweep,cfg_sweep,ddpm10_cfg-1_tts0,efficientnet_b0,ddpm,10,-1,0,0,none,24,42.281068,1.0399131,41.834119,45.474179,45.974519,23.651247,8.4997261,0.11095851,2.8758383,0.28251261,9.1676493,NA,0.13776304,0.82509268,within_source_case_zscore,true,Quality,proxy normalized within source; Pareto not cross-experiment; invalid/saturation unavailable
cfg_sweep,cfg_sweep,ddpm10_cfg0_tts0,efficientnet_b0,ddpm,10,0,0,0,none,24,42.64658,1.0271729,41.860533,45.896483,47.217536,23.448539,8.5225491,0.11208743,2.8855385,0.28786713,9.1800678,NA,0.1430638,0.80322306,within_source_case_zscore,true,Baseline,proxy normalized within source; Pareto not cross-experiment; invalid/saturation unavailable
cfg_sweep,cfg_sweep,ddpm10_cfg0.5_tts0,efficientnet_b0,ddpm,10,0.5,0,0,none,24,78.269766,1.3831504,78.642408,82.459742,82.982454,12.776325,8.5146043,0.11372132,2.8750049,0.28501212,9.1705965,NA,0.10005688,0.81989976,within_source_case_zscore,false,Dominated,proxy normalized within source; Pareto not cross-experiment; invalid/saturation unavailable
cfg_sweep,cfg_sweep,ddpm10_cfg2_tts0,efficientnet_b0,ddpm,10,2,0,0,none,24,78.807363,1.6157989,78.451603,82.82178,85.903433,12.68917,8.5272804,0.12170204,2.9518364,0.29897043,9.2353708,NA,-0.055157483,0.86082904,within_source_case_zscore,false,Dominated,proxy normalized within source; Pareto not cross-experiment; invalid/saturation unavailable
cfg_sweep,cfg_sweep,ddpm10_cfg4_tts0,efficientnet_b0,ddpm,10,4,0,0,none,24,78.921693,1.6900189,77.850738,83.153367,83.725699,12.670787,8.4831193,0.13425541,3.0885548,0.30405767,9.3319963,NA,-0.41236721,1.0252131,within_source_case_zscore,false,Dominated,proxy normalized within source; Pareto not cross-experiment; invalid/saturation unavailable
cfg_sweep,cfg_sweep,ddpm10_cfg1_tts0,efficientnet_b0,ddpm,10,1,0,0,none,24,79.749802,1.5151049,79.599491,83.969954,84.697462,12.539216,8.5725008,0.11433088,2.9012576,0.27742945,9.2428005,NA,0.086640968,0.82792129,within_source_case_zscore,false,Dominated,proxy normalized within source; Pareto not cross-experiment; invalid/saturation unavailable
ddim_cfg_joint,ddim_cfg_joint,ddim2_w0.0,efficientnet_b0,ddim,2,0,0,0,none,24,9.9880216,0.23666817,9.7225471,10.879922,11.171855,100.11993,8.0889168,0.12366901,2.3117688,0.3897009,8.6748848,NA,0.18901836,0.71574484,within_source_case_zscore,true,Fast,proxy normalized within source; Pareto not cross-experiment; invalid/saturation unavailable
ddim_cfg_joint,ddim_cfg_joint,ddim3_w0.0,efficientnet_b0,ddim,3,0,0,0,none,24,14.59944,0.38660811,14.277395,15.546986,15.728303,68.495777,8.0761377,0.10746906,2.3420341,0.32075205,8.680635,NA,0.18657109,0.74117235,within_source_case_zscore,false,Dominated,proxy normalized within source; Pareto not cross-experiment; invalid/saturation unavailable
ddim_cfg_joint,ddim_cfg_joint,ddim2_w0.5,efficientnet_b0,ddim,2,0.5,0,0,none,24,17.826803,0.38311052,17.730683,19.229447,19.62451,56.095309,8.1057108,0.12456203,2.3650794,0.38198866,8.7159908,NA,0.12584322,0.75419489,within_source_case_zscore,false,Dominated,proxy normalized within source; Pareto not cross-experiment; invalid/saturation unavailable
ddim_cfg_joint,ddim_cfg_joint,ddim2_w1.0,efficientnet_b0,ddim,2,1,0,0,none,24,18.824572,0.51963398,18.459582,20.989653,21.169432,53.122058,8.121876,0.12594352,2.4217566,0.37596483,8.7581586,NA,0.058592115,0.7888241,within_source_case_zscore,false,Dominated,proxy normalized within source; Pareto not cross-experiment; invalid/saturation unavailable
