trial_id,trial_path,backend,map,auto_status_untrusted,timing_available,timing_path,recording_meta_count,manual_outcome,failure_mode,video_reviewed_by,video_review_date,evidence_usable,notes
0428下午基线，后方走廊，失败,history-doc/毕设冲刺/video/0428下午基线，后方走廊，失败,real,houfang,success,True,history-doc/毕设冲刺/video/0428下午基线，后方走廊，失败/logs/timing_profile.csv,1,,,,,,
0428下午最优方案，后方走廊。成功,history-doc/毕设冲刺/video/0428下午最优方案，后方走廊。成功,real,houfang,success,True,history-doc/毕设冲刺/video/0428下午最优方案，后方走廊。成功/logs/timing_profile.csv,1,,,,,,
ddim2cfg0tts8,history-doc/毕设冲刺/video/ddim2cfg0tts8,real,pingpong,success,True,history-doc/毕设冲刺/video/ddim2cfg0tts8/logs/timing_profile.csv,1,,,,,,
ddim2cfg2tts8,history-doc/毕设冲刺/video/ddim2cfg2tts8,real,pingpong,success,True,history-doc/毕设冲刺/video/ddim2cfg2tts8/logs/timing_profile.csv,1,,,,,,
ddim3cfg0tts0,history-doc/毕设冲刺/video/ddim3cfg0tts0,real,pingpong,success,True,history-doc/毕设冲刺/video/ddim3cfg0tts0/logs/timing_profile.csv,1,,,,,,
ddpm,history-doc/毕设冲刺/video/ddpm,real,pingpong,success,True,history-doc/毕设冲刺/video/ddpm/logs/timing_profile.csv,1,,,,,,
pingpong-road,history-doc/毕设冲刺/video/pingpong-road,real,pingpong-road,success,True,history-doc/毕设冲刺/video/pingpong-road/logs/timing_profile.csv,1,,,,,,
二号楼楼下平台，失败,history-doc/毕设冲刺/video/二号楼楼下平台，失败,real,shiwai2,success,False,NA,1,,,,,,
二号楼楼下斜坡1,history-doc/毕设冲刺/video/二号楼楼下斜坡1,real,shiwai1,success,False,NA,1,,,,,,
二号楼楼下斜坡2,history-doc/毕设冲刺/video/二号楼楼下斜坡2,real,shiwai1,success,False,NA,1,,,,,,
电草2，失败,history-doc/毕设冲刺/video/电草2，失败,real,shiwai3,success,False,NA,1,,,,,,
电草，失败,history-doc/毕设冲刺/video/电草，失败,real,shiwai3,success,False,NA,1,,,,,,
走廊失败,history-doc/毕设冲刺/video/走廊失败,real,lab,success,False,NA,1,,,,,,
走廊成功,history-doc/毕设冲刺/video/走廊成功,real,lab,success,False,NA,1,,,,,,
